Cultura,EpocaPlantio,EspacamentoLinhas,EspacamentoPlantas,TipoPlantio,TempoColheita,Producao
Abóbora,"Out/fev",2.50,2.50,"SD**/cova","90-120 dias","1,0 a 1,5 kg"
Abobrinha,"Set/mai",1.50,1.00,"SD/cova","45-60","1,0 a 1,5 kg"
Acelga,"Fev/jul",0.40,0.30,"Muda/canteiro","60-70","1,5 a 2,0 kg"
Agrião,"Fev/out",0.20,0.10,"Estacas (muda)/cova","60-70","4,0 a 5,0 kg"
Alface de inverno,"Fev/out",0.25,0.25,"Muda/canteiro","60-80","16 pés"
Alface de verão,"Ano todo",0.25,0.25,"Muda/canteiro","50-70","16 pés"
Alho,"Maio/jun",0.25,0.10,"SD/canteiro","150-180","0,4 a 0,6 kg"
Almeirão,"Fev/out",0.25,0.25,"Muda/canteiro","60-70","16 pés"
Batata,"Nov/dez",0.80,0.30,"SD/sulco","90-120","2,0 a 3,0 kg"
Batata-doce,"Out/dez/jan",0.90,0.30,"SD/leira","120-150","1,0 a 1,5 kg"
Berinjela,"Set/fev",1.20,0.80,"SD/canteiro","100-120","7,0 a 8,0 kg"
Bertalha,"Ano todo",1.00,0.40,"Muda/cova","60-70","2,0 a 2,5 kg"
Beterraba,"Ago",0.20,0.10,"SD/canteiro","60-70","3,0 a 4,0 kg"
Brócolis de inverno,"Fev/set",0.90,0.50,"Muda/cova","90-100","1,0 a 3,0 kg"
Brócolis de verão,"Out/dez",0.90,0.50,"Muda/cova","80-100","1,0 a 3,0 kg"
Cebola,"Jul/ago",0.40,0.10,"SD-muda/canteiro","120-180","1,0 a 2,0 kg"
Cebolinha,"Ano todo",0.25,0.15,"Muda/canteiro","80-100","0,5 a 0,6 kg"
Cenoura de inverno,"Fev/ago",0.20,0.05,"SD/canteiro","90-110","2,0 a 3,0 kg"
Cenoura de verão,"Nov/jan",0.20,0.05,"SD/canteiro","85-100","2,0 a 3,0 kg"
Chicória,"Fev/jul",0.25,0.25,"Muda/canteiro","60-70","16 pés"
Chuchu,"Set/out",6.00,5.00,"SD/covas","100-120","1,5 a 2,0 kg"
Coentro,"Set/jan",0.25,0.10,"SD/canteiro","50-60","0,6 kg"
Couve,"Fev/jul",0.90,0.50,"Muda/cova","80-90","1,6 molhos"
Couve-flor de inverno,"Fev/jun",0.90,0.50,"Muda/cova","100-110","1,0 a 1,2 kg"
Couve-flor de verão,"Dez/jan",0.90,0.50,"Muda/cova","90-100","1,0 a 1,2 kg"
Ervilha grão,"Abr/mai",0.25,0.07,"SD**/sulco","60-70","0,2 a 0,3 kg"
Espinafre,"Fev/set",0.25,0.10,"SD/canteiro","60-80","4,0 a 5,0 molhos"
Feijão-vagem,"Set/mar",1.00,0.50,"SD/cova","60-70","2,0 a 2,5 kg"
Gengibre,"Ago/dez",1.20,0.20,"Rizoma-semente/sulco","240-300","3,0 a 4,5 kg"
Inhame,"Jun/set",0.90,0.40,"Muda (tubérculo)/cova alta","150-180","1,0 a 1,5 kg"
Jiló,"Set/fev",1.00,0.70,"Muda/cova","90-100","1,6 a 2,0 kg"
Maxixe,"Set/fev",1.00,"0,50-0,70","SD/cova","60-70","2,5 a 2,8 kg"
Melancia,"Set/jan",2.00,2.00,"Direto/cova","85-90","3,0 a 5,0 kg"
Milho-verde,"Ago/fev",1.00,0.20,"SD/canteiro","80-110","5-6 espigas"
Moranga,"Ago/dez",2.00,2.00,"SD**/cova","120-150","1,0 a 1,5 kg"
Morango,"Mar/abr",0.30,0.20,"Mudas/cova","70-80","3,0 a 4,0 kg"
Mostarda,"Jul/dez",0.40,0.40,"Mudas/sulco","45-50","5 a 7 pés"
Pepino,"Set/fev",1.00,0.50,"SD-mudas/cova","45-60","4,0 a 5,0 kg"
Pimenta,"Set/fev",1.20,0.60,"Mudas/cova","90-120","0,5 a 1,5 kg"
Pimentão,"Set/fev",1.00,0.50,"Mudas/cova","100-120","3,0 a 4,0 kg"
Quiabo,"Out/dez",1.00,0.40,"SD-mudas/cova","70-80","1,5 a 2,2 kg"
Rabanete,"Mar/ago",0.25,0.05,"SD/canteiro","25-30","1,5 a 3,0 kg"
Repolho de inverno,"Fev/set",0.80,0.40,"Mudas/cova","90-110","3,0 a 6,0 kg"
Repolho de verão,"Nov/jan",0.80,0.40,"Mudas/cova","90-110","3,0 a 6,0 kg"
Rúcula,"Mar/ago",0.20,0.15,"SD/linha","40-60","2,0 a 2,5 kg"
Salsa,"Mar/set",0.25,0.10,"SD-mudas/linha","60-70","0,5 a 0,7 kg"
Taioba,"Set/nov",0.80,0.40,"Mudas (rizoma)/cova","70-100","2,5 a 3,0 kg"
Tomate mesa,"Ano todo",1.00,0.50,"Mudas/sulco","100-120","5,0 a 10 kg"
